Source,Target,Type,Weight
2,4,Undirected,0.48129
2,5,Undirected,0.49505
2,6,Undirected,0.40617
2,7,Undirected,0.43361
2,8,Undirected,0.4392
2,10,Undirected,0.4937
2,11,Undirected,0.36338
2,12,Undirected,0.47996
4,5,Undirected,0.48468
4,6,Undirected,0.49492
4,7,Undirected,0.47554
4,8,Undirected,0.56028
4,10,Undirected,0.56642
4,12,Undirected,0.51646
4,16,Undirected,0.44273
5,6,Undirected,0.3899
5,7,Undirected,0.51062
5,8,Undirected,0.41041
5,10,Undirected,0.51983
5,12,Undirected,0.57402
6,7,Undirected,0.52315
6,8,Undirected,0.4003
6,12,Undirected,0.4147
7,10,Undirected,0.46225
7,12,Undirected,0.46067
7,16,Undirected,0.38426
8,10,Undirected,0.47213
8,12,Undirected,0.4305
8,16,Undirected,0.36231
10,12,Undirected,0.52085
10,16,Undirected,0.4294
